point_id,easting_m,northing_m,lon_wgs84,lat_wgs84,dsm_obs_m,chm_true_m,sensor_type
LIDAR_020,727510.0,4706540.0,-72.232173,42.477795,232.0000,30.0700,Lidar-DSM
LIDAR_021,727030.0,4706090.0,-72.238184,42.473888,240.3900,17.3000,Lidar-DSM
LIDAR_022,727600.0,4706720.0,-72.231008,42.479388,221.3800,20.3400,Lidar-DSM
LIDAR_023,727120.0,4706680.0,-72.236857,42.479169,228.7300,32.4300,Lidar-DSM
LIDAR_024,727130.0,4706430.0,-72.236835,42.476917,229.0900,19.9600,Lidar-DSM
LIDAR_025,727590.0,4706480.0,-72.231225,42.477232,230.9300,20.8700,Lidar-DSM
LIDAR_026,727430.0,4706680.0,-72.233090,42.479078,206.2900,10.5100,Lidar-DSM
LIDAR_027,727290.0,4706210.0,-72.234977,42.474892,245.7100,12.8600,Lidar-DSM
LIDAR_028,727280.0,4706530.0,-72.234972,42.477773,241.6500,30.4900,Lidar-DSM
LIDAR_029,727530.0,4706400.0,-72.231986,42.476530,213.4100,6.2600,Lidar-DSM
LIDAR_030,727020.0,4706490.0,-72.238147,42.477489,226.5400,16.3800,Lidar-DSM
LIDAR_031,727060.0,4706760.0,-72.237554,42.479906,221.7700,27.9600,Lidar-DSM
LIDAR_032,727220.0,4706290.0,-72.235796,42.475632,247.6300,19.6100,Lidar-DSM
LIDAR_033,727370.0,4706710.0,-72.233807,42.479366,223.9200,27.1600,Lidar-DSM
LIDAR_034,727770.0,4706870.0,-72.228883,42.480688,226.5000,24.5800,Lidar-DSM
LIDAR_035,727010.0,4706720.0,-72.238178,42.479561,223.0100,22.0900,Lidar-DSM
LIDAR_036,727380.0,4706530.0,-72.233757,42.477744,231.9300,22.3600,Lidar-DSM
LIDAR_037,727930.0,4706530.0,-72.227073,42.477582,233.7200,22.7000,Lidar-DSM
LIDAR_038,727720.0,4706400.0,-72.229677,42.476474,252.6200,22.5000,Lidar-DSM
LIDAR_039,727570.0,4706740.0,-72.231365,42.479577,226.4500,26.8500,Lidar-DSM
LIDAR_040,727200.0,4706140.0,-72.236099,42.474288,241.7100,6.4800,Lidar-DSM
LIDAR_041,727920.0,4706120.0,-72.227358,42.473897,259.6700,18.1300,Lidar-DSM
LIDAR_042,727220.0,4706030.0,-72.235899,42.473293,250.1000,8.4000,Lidar-DSM
LIDAR_043,727250.0,4706490.0,-72.235353,42.477422,238.1200,22.9100,Lidar-DSM
